Date,Country,Infections,Recovered,Deaths
22-Feb,Total,78572,22886,2458
23-Feb,Total,78958,23394,2469
24-Feb,Total,79561,25227,2629
25-Feb,Total,80406,27905,2708
26-Feb,Total,81388,30384,2770
27-Feb,Total,82746,33277,2814
28-Feb,Total,84112,36711,2872
29-Feb,Total,86011,39782,2941
1-Mar,Total,88369,42716,2996
2-Mar,Total,90306,45602,3085
3-Mar,Total,92840,48228,3160
4-Mar,Total,95120,51170,3254
5-Mar,Total,97886,53796,3348
6-Mar,Total,101801,55865,3460
7-Mar,Total,105847,58358,3558
8-Mar,Total,109821,60694,3802
9-Mar,Total,113590,62494,3988
10-Mar,Total,118620,64404,4262
11-Mar,Total,125875,67003,4615
12-Mar,Total,128352,68324,4720
13-Mar,Total,145205,70251,5404
14-Mar,Total,156101,72624,5819
15-Mar,Total,167454,76034,6440
16-Mar,Total,181574,78088,7126
17-Mar,Total,197102,80840,7905
18-Mar,Total,214821,83312,8733
19-Mar,Total,242500,84975,9867
20-Mar,Total,272035,87420,11299
21-Mar,Total,304396,91692,12973
22-Mar,Total,336953,97899,14651
23-Mar,Total,378235,98351,16505
24-Mar,Total,418045,108000,18625
25-Mar,Total,467653,113787,21181
